Артикулы с дубликатами и даты первого появления (от ранней к поздней):

Артикул: 959374, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265019
Артикул: 831615, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265094
Артикул: 831937, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265169
Артикул: 831942, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265243
Артикул: 232544, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265317
Артикул: 251912, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265391
Артикул: 959377, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265465
Артикул: 959389, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265546
Артикул: 307118, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265620
Артикул: 831944, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265694
Артикул: 831943, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265770
Артикул: 232477, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265847
Артикул: 959393, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265922
Артикул: 232470, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.265996
Артикул: 232529, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266070
Артикул: 232532, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266144
Артикул: 307133, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266217
Артикул: 307162, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266291
Артикул: 959386, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266365
Артикул: 307137, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266439
Артикул: 959381, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266517
Артикул: 959375, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266592
Артикул: 959371, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266666
Артикул: 831950, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266740
Артикул: 232539, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.266814
Артикул: 2028040, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.479583
Артикул: 1629858, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.479680
Артикул: 843385, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.479757
Артикул: 1638179, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.479832
